# CSVファイルの仕様:
#   - 文字コード: UTF-8
#   - コメント: #ではじまる行
#   - 囲み文字: " ダブルクォーテーション
#   - 編集不可の項目: 項目名に*がついたものは編集不可
#   - 1行の定義: 下記のデータタイプに合わせて1データ1行記載
#
# データタイプ: 先頭の数値はデータの種類を表しています。
#   10: データソース
#   20: メタデータ
#   30: メタデータのカラム
# 
# データタイプごとの定義: データタイプによって指定できる項目が異なります。
#   10: データソース
#     - Type*:       データタイプ
#     - ID*:         データソースID
#     - Name:        データソース名
#     - Description: データソースの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    データソースの言語
#       - ja:        日本語
#       - en:        英語
#
#   20: メタデータ
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       メタデータ名
#     - Alias:       メタデータの別名
#     - Description: メタデータの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    メタデータの言語
#       - ja:          日本語
#       - en:          英語
#     - MetaType*:   メタデータタイプ
#       - Table:       テーブル形式のメタデータ
#       - Model:       モデル形式のメタデータ
#       - Stream:      ストリーム形式のメタデータ
#       - File:        ファイル形式のメタデータ
#
#   30: メタデータのカラム
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       カラム名
#     - Alias:       カラムの別名
#     - Description: カラムの説明。改行やカンマを含む場合は " で囲んでください。
#     - DataType*:   カラムの型
#     - ColumnType*: カラムの種類
#       - Nullable:    任意
#       - Required:    必須
#       - Repeated:    複数
#     - Constraint*: キーの制約
#       - Primary:     主キー
#

10,bac33b97-a0e8-4b56-8310-4c9a2b0d6196,ORCA,,ja
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,utagaiflg,,,character,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,tandokukbn,,,smallint,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,hknskykbn,,,smallint,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,hyojuncd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,saitakukbn,,,character,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,byomeichgcd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,icd10_1,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,syusaiymd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,chgymd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,haisiymd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,termid,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,opid,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,creymd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,upymd,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,uphms,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,icd10_2,,,character varying,Nullable,
30,a35e796d-9991-4de2-b91f-7cac9dd431f5,nanbyocd,,,smallint,Nullable,

20,df6024e1-7ed2-406c-a324-e5f33c2a42a7,tbl_chk,,,ja,Table
30,df6024e1-7ed2-406c-a324-e5f33c2a42a7,hospnum,,,numeric,Required,Primary
30,df6024e1-7ed2-406c-a324-e5f33c2a42a7,chkkbn,,,character,Required,Primary
30,df6024e1-7ed2-406c-a324-e5f33c2a42a7,srycd,,,character,Required,Primary
30,df6024e1-7ed2-406c-a324-e5f33c2a42a7,grpnum,,,numeric,Required,Primary
30,df6024e1-7ed2-406c-a324-e5f33c2a42a7,yukostymd,,,character,Required,Primary
